"","raw","filtered","denoised","nochim"
"STT_2_Run3",134456,69701,69205,68785
"STT_73_Run3",70756,63880,63139,62481
"STT_39_Run3",245889,193439,192751,189946
"STT_1_Run3",70830,49090,48739,48263
"STT_56_Run3",94667,88313,87817,87178
"STT_103_Run3",43414,7266,7226,7226
"STT_76_Run3",117069,107844,107190,106327
"STT_34_Run4",53911,41788,41232,40879
"STT_65_Run4",46531,40024,39605,39320
"STT_53_Run4",80604,72087,71313,70592
"STT_11_Run4",86445,69875,69396,68798
"STT_21_Run4",117776,78324,77987,77428
"STT_37_Run4",135170,114419,113713,112173
"STT_42_Run4",112013,88905,87127,86120
"STT_17_Run4",113465,76666,76173,75740
"STT_85_Run4",85526,77669,76655,76104
"STT_13_Run4",100168,81985,81221,80759
"STT_83_Run4",77895,71980,71421,70564
"STT_15_Run4",94742,68952,68276,67796
"STT_26_Run4",79268,59971,59328,58950
"STT_12_Run4",81850,68569,67212,65934
"STT_24_Run4",100093,76252,75577,74817
"STT_16_Run4",92846,74275,73826,73473
"STT_46_Run4",54052,47089,46625,46429
"STT_55_Run4",32777,27839,27564,27518
"STT_69_Run4",80250,70527,69657,68953
"STT_104_Run4",114248,15615,15426,15426
"STT_6_Run4",131464,98950,97629,96594
"STT_5_Run4",93762,65563,64815,64307
"STT_33_Run4",114023,92618,91486,90473
"STT_19_Run4",71899,51246,50787,50466
"STT_47_Run4",106034,94187,93139,92347
"STT_66_Run4",71655,61263,60787,60317
"STT_41_Run4",112323,85550,84658,83513
"STT_48_Run4",101750,91730,90922,89786
"STT_14_Run4",69841,55474,54787,54498
"STT_102_Run4",183043,14580,14471,13644
"STT_67_Run4",89335,80784,80196,79066
"STT_4_Run4",117526,78972,78448,77599
"STT_52_Run4",56755,51851,51330,50854
"STT_Undetermined_Run4",1288864,289109,286418,281670
"STT_101_Run4",185423,16335,16214,16214
"STT_71_Run4",51872,45251,44699,44362
"STT_23_Run4",119942,81935,81412,80887
"STT_72_Run4",67812,59497,58855,58329
"STT_35_Run4",108214,92643,91794,90485
"STT_44_Run4",95675,87316,86671,85567
"STT_68_Run4",80115,74538,74141,73183
"STT_18_Run4",85350,56359,55449,55214
"STT_mock_Run4",290751,261208,260760,243616
"STT_79_Run4",83311,73040,72608,72163
"STT_105_Run4",261780,17248,17043,17043
"STT_pcrneg_Run4",158860,7430,7352,7352
"STT_29_Run4",65410,52842,52433,52077
"STT_31_Run4",116941,78397,77709,76876
"STT_7_Run4",132911,77054,76621,75843
