,sample,Run,site,reef_system,transect,distance,coral,sand,Sample_or_Control,depth,substrate_desc,substrate class,DAPI,pcr_group,lat,lon
FLA_351_Run2,FLA_351,Run2,FLA_073,FLA,1,1,no,no,Sample,NA,rock,,NA,,25.38634,-80.16294
FLA_38_Run2,FLA_38,Run2,FLA_015,FLA,1,11,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_39_Run2,FLA_39,Run2,FLA_015,FLA,3,9,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_40_Run2,FLA_40,Run2,FLA_015,FLA,3,3,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_41_Run1,FLA_41,Run1,FLA_015,FLA,1,6,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_42_Run1,FLA_42,Run1,FLA_015,FLA,3,6,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_43_Run1,FLA_43,Run1,FLA_015,FLA,1,5,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_44_Run2,FLA_44,Run2,FLA_015,FLA,3,10,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_45_Run1,FLA_45,Run1,FLA_015,FLA,2,4,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_45_Run2,FLA_45,Run2,FLA_015,FLA,2,4,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_46_Run2,FLA_46,Run2,FLA_015,FLA,2,9,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_47_Run1,FLA_47,Run1,FLA_015,FLA,1,2,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_48_Run1,FLA_48,Run1,FLA_015,FLA,2,6,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_48_Run2,FLA_48,Run2,FLA_015,FLA,2,6,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_49_Run1,FLA_49,Run1,FLA_015,FLA,1,9,,,Sample,NA,,,NA,,24.722388,-82.828323
FLA_50_Run2,FLA_50,Run2,FLA_015,FLA,1,10,,,Sample,NA,,,NA,,24.722388,-82.828323
