,sample,Run,site,reef_system,transect,distance,coral,sand,Sample_or_Control,depth,substrate_desc,substrate.class,DAPI,pcr_group,lat,lon,AvgCellsPerField,StdCellsPerField,CV.bact,bact.ml,CV.dsRed,dsRed.ml,raw,filtered,denoised,nochim,read_prop,is.neg,site.transect
STT_27,STT_27,Run3,Flat Cay,STT,1,4,,,Sample,5.9,dead orbicella,Dead coral,10,A,18.316767,-64.987961,24.7,6.037843618,24.444711,1394717.84,92.80492857,146483.0576,98090,78310,77730,76854,0.783504944438781,FALSE,Flat Cay 1
STT_75,STT_75,Run3,Black Point,STT,1,5,,,Sample,8.3,dead coral macroalgae,Algae,64,B,18.344616,-64.98603,41.8,11.39005414,27.24893335,2350295.28,NA,NA,93197,86720,86183,85156,0.913720398725281,FALSE,Black Point 1
STT_82,STT_82,Run3,Black Point,STT,1,7,,,Sample,8.7,P. porites,Live coral,86,B,18.344616,-64.98603,48.4,10.11269829,20.89400473,2726384.589,NA,NA,104726,96392,95555,94295,0.900397227049634,FALSE,Black Point 1
STT_62,STT_62,Run3,Flat Cay,STT,3,9,,,Sample,8,rock + algae,Rock,51,B,18.316767,-64.987961,41.4,10.58510484,25.56788608,2329550.088,NA,NA,114303,106273,105491,104115,0.910868481142227,FALSE,Flat Cay 3
STT_28,STT_28,Run3,Black Point,STT,3,2,,,Sample,6.3,rock,Rock,72,A,18.344616,-64.98603,28.1,5.839520528,20.78121184,1588022.631,48.02944874,231127.1053,100210,73183,72572,71428,0.712783155373715,FALSE,Black Point 3
STT_86,STT_86,Run3,Flat Cay,STT,3,6,,,Sample,8.4,macroalgae,Algae,87,B,18.316767,-64.987961,38.6,7.545418036,19.54771512,2175072.008,32.49637968,247894.4052,93761,85125,84762,83895,0.894775013065134,FALSE,Flat Cay 3
STT_64,STT_64,Run3,Black Point,STT,2,5,,,Sample,7.4,macroalgae,Algae,122,B,18.344616,-64.98603,20.6,4.788875999,23.24697087,1162819.203,82.32573003,118313.2388,70022,65864,65290,64425,0.920067978635286,FALSE,Black Point 2
STT_43,STT_43,Run3,Brewer's Bay,STT,2,6,,,Sample,5.9,sponge,Sponge,28,A,18.343027,-64.980451,34.1,3.900142448,11.43736788,1919902.717,NA,NA,130615,108531,107802,106555,0.815794510584542,FALSE,Brewer's Bay 2
STT_22,STT_22,Run3,Flat Cay,STT,2,1,,,Sample,7.6,dead coral macroalgae,Algae,16,A,18.316767,-64.987961,33.3,7.394442357,22.2055326,1877984.088,54.30695666,202822.6951,118195,86697,86039,84698,0.716595456660603,FALSE,Flat Cay 2
STT_25,STT_25,Run3,Black Point,STT,1,8,,,Sample,8.9,green sponge,Sponge,73,A,18.344616,-64.98603,57.7,10.06699779,17.44713655,3249985.486,NA,NA,79179,62421,61800,61011,0.770545220323571,FALSE,Black Point 1
STT_40,STT_40,Run3,Flat Cay,STT,1,10,,,Sample,6.4,dead DCYL + agaricia,Dead coral,4,A,18.316767,-64.987961,38.4,11.61608081,30.25021044,2165783.42,66.66666667,338037.8252,113179,83829,83392,82798,0.73156681009728,FALSE,Flat Cay 1
STT_54,STT_54,Run3,Brewer's Bay,STT,3,3,,,Sample,5.2,algae,Algae,40,B,18.343027,-64.980451,36.2,11.35096667,31.35626153,2040173.89,33.67673215,292966.1152,74085,68844,68220,67547,0.911750016872511,FALSE,Brewer's Bay 3
STT_51,STT_51,Run3,Brewer's Bay,STT,1,3,,,Sample,6.9,OANN paled,Live coral,36,B,18.343027,-64.980451,48.5,7.291547618,15.0341188,2744082.754,44.29933479,355560.3308,74250,68710,68268,67472,0.908713804713805,FALSE,Brewer's Bay 1
STT_3,STT_3,Run3,Flat Cay,STT,2,5,,,Sample,NA,coral (OFAV?),Live coral,6,A,18.316767,-64.987961,41.7,11.22546708,26.91958532,2351122.964,46.05869154,259162.3327,147334,89246,88797,87945,0.596909063759892,FALSE,Flat Cay 2
STT_32,STT_32,Run3,Brewer's Bay,STT,2,3,,,Sample,5.7,OFRA + macroalgae,Live coral,29,A,18.343027,-64.980451,NA,NA,NA,NA,NA,NA,140014,104121,103502,102211,0.730005570871484,FALSE,Brewer's Bay 2
STT_9,STT_9,Run3,Black Point,STT,1,9,,,Sample,9.1,macroalgae,Algae,65,A,18.344616,-64.98603,NA,NA,NA,NA,NA,NA,66829,48914,48481,48140,0.72034595759326,FALSE,Black Point 1
STT_58,STT_58,Run3,Flat Cay,STT,3,3,,,Sample,8,cyanobacteria + sand,Sand,15,B,18.316767,-64.987961,NA,NA,NA,NA,NA,NA,78411,73164,70908,69129,0.881623751769522,FALSE,Flat Cay 3
STT_88,STT_88,Run3,Black Point,STT,1,1,,,Sample,7,OANN paled,Live coral,63,B,18.344616,-64.98603,57.4,9.912954487,17.26995555,3228514.562,NA,NA,87243,83121,82564,81830,0.937954907557053,FALSE,Black Point 1
STT_87,STT_87,Run3,Flat Cay,STT,1,9,,,Sample,6.4,rock/pavement,Rock,17,B,18.316767,-64.987961,30.4,8.435375247,27.74794489,1716718.509,57.27133527,219724.5864,86035,77368,76920,76222,0.885941767885163,FALSE,Flat Cay 1
STT_45,STT_45,Run3,Black Point,STT,1,10,,,Sample,9.9,rock + macroalgae,Rock,67,B,18.344616,-64.98603,48.3,15.14412244,31.35429076,2719619.402,NA,NA,87252,83993,81919,80739,0.92535414660982,FALSE,Black Point 1
STT_20,STT_20,Run3,Flat Cay,STT,1,1,,,Sample,6.1,OFAV,Live coral,14,A,18.316767,-64.987961,35.2,3.705851229,10.52798645,1992077.941,43.07515235,361294.257,89651,62095,61718,60957,0.679936643205318,FALSE,Flat Cay 1
STT_57,STT_57,Run3,Flat Cay,STT,3,10,,,Sample,8,rock,Rock,89,B,18.316767,-64.987961,45.1,6.081849134,13.48525307,2538592.015,NA,NA,67113,61661,61220,60842,0.906560576937404,FALSE,Flat Cay 3
STT_49,STT_49,Run3,Brewer's Bay,STT,1,5,,,Sample,7,rock + macroalgae,Algae,35,B,18.343027,-64.980451,51.3,12.40116482,24.17381056,2890945.074,45.39412367,501422.7741,70586,65927,65507,64983,0.920621653019012,FALSE,Brewer's Bay 1
