	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV5252	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV5253	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV5254	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	kibberense/murale
ASV5255	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV5256	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
ASV5257	Bacteria	NA	NA	NA	NA	NA	NA
ASV5259	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	NA
ASV5260	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5261	Bacteria	NA	NA	NA	NA	NA	NA
ASV5262	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV5263	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV5264	Bacteria	NA	NA	NA	NA	NA	NA
ASV5265	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	NA
ASV5266	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	CI75cm.2.12	NA
ASV5267	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV5268	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA	NA
ASV5269	Bacteria	NA	NA	NA	NA	NA	NA
ASV5270	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5271	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales_fa	Pseudobacteriovorax	NA
ASV5272	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5273	Bacteria	NA	NA	NA	NA	NA	NA
ASV5274	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5276	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5277	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV5279	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5280	Bacteria	NA	NA	NA	NA	NA	NA
ASV5281	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Paraspirulinaceae	NA	NA
ASV5282	Bacteria	NA	NA	NA	NA	NA	NA
ASV5283	Bacteria	NA	NA	NA	NA	NA	NA
ASV5285	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5287	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	NA	NA	NA
ASV5288	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5289	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5290	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	NA
ASV5291	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV5292	Bacteria	NA	NA	NA	NA	NA	NA
ASV5293	Bacteria	NA	NA	NA	NA	NA	NA
ASV5294	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonadaceae	Marinomonas	communis/ostreistagni
ASV5295	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5296	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	L21-RPul-D3	NA	NA
ASV5297	Bacteria	NA	NA	NA	NA	NA	NA
ASV5298	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5299	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV5301	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetovibrio	NA
ASV5303	Archaea	NA	NA	NA	NA	NA	NA
ASV5304	Bacteria	Verrucomicrobiota	Lentisphaeria	NA	NA	NA	NA
ASV5305	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV5306	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	NA	NA
ASV5307	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
ASV5308	Bacteria	NA	NA	NA	NA	NA	NA
ASV5309	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5310	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	NA
ASV5311	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5312	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5313	Bacteria	Elusimicrobiota	Lineage_IIb	NA	NA	NA	NA
ASV5314	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV5315	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	NA	NA	NA
ASV5316	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	NA
ASV5319	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV5320	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA
ASV5321	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV5322	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5329	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	NA
ASV5330	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	maritimus
ASV5331	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA
ASV5332	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV5333	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5334	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	NA
ASV5335	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5337	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella	NA
ASV5338	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV5339	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA	NA
ASV5340	Bacteria	NA	NA	NA	NA	NA	NA
ASV5341	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5342	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5343	Bacteria	NA	NA	NA	NA	NA	NA
ASV5344	Bacteria	NA	NA	NA	NA	NA	NA
ASV5345	Bacteria	NA	NA	NA	NA	NA	NA
ASV5346	Bacteria	NA	NA	NA	NA	NA	NA
ASV5347	Bacteria	NA	NA	NA	NA	NA	NA
ASV5348	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5349	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5350	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5351	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5352	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	NA
ASV5353	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV5354	Archaea	NA	NA	NA	NA	NA	NA
ASV5356	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5358	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata_or	Thermoplasmata_fa	Marine_Group_III	NA
ASV5359	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	NA	NA	NA
ASV5360	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5361	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV5362	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA	NA
ASV5363	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV5364	Archaea	NA	NA	NA	NA	NA	NA
ASV5365	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011	AR20	NA
ASV5366	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
ASV5367	Bacteria	NA	NA	NA	NA	NA	NA
ASV5368	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella	NA
ASV5369	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5370	Bacteria	NA	NA	NA	NA	NA	NA
ASV5371	Bacteria	Verrucomicrobiota	Verrucomicrobiae	NA	NA	NA	NA
ASV5372	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV5373	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5374	Bacteria	NA	NA	NA	NA	NA	NA
ASV5375	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV5376	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5377	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	NA	NA
ASV5378	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV5379	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA
ASV5380	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agaribacterium	NA
ASV5381	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5382	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium_CLg1	NA
ASV5383	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5384	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5385	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV5386	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Falsochrobactrum	NA
ASV5387	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5388	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV5389	Bacteria	NA	NA	NA	NA	NA	NA
ASV5390	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira	NA
ASV5391	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV5392	Archaea	NA	NA	NA	NA	NA	NA
ASV5393	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	NA
ASV5394	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV5395	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5396	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5398	Bacteria	NA	NA	NA	NA	NA	NA
ASV5399	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5400	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5401	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus	NA
ASV5402	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	NA
ASV5403	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV5404	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV5405	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5406	Archaea	NA	NA	NA	NA	NA	NA
ASV5407	Archaea	NA	NA	NA	NA	NA	NA
ASV5408	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5409	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV5410	Bacteria	Cyanobacteria	Vampirivibrionia	NA	NA	NA	NA
ASV5411	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV5413	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	NA	NA	NA
ASV5414	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV5415	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV5416	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV5417	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5418	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV5419	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5420	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5421	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV5422	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5423	Bacteria	NA	NA	NA	NA	NA	NA
ASV5424	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5425	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA
ASV5426	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV5427	Bacteria	Cyanobacteria	Cyanobacteriia	Eurycoccales	NA	NA	NA
ASV5428	Bacteria	Myxococcota	Polyangia	Polyangiales	NA	NA	NA
ASV5429	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA
ASV5430	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV5431	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	NA
ASV5432	Bacteria	NA	NA	NA	NA	NA	NA
ASV5433	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5434	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV5435	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	NA
ASV5436	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	NA
ASV5437	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
ASV5438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	sinuspersici
ASV5439	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV5440	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV5441	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5442	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV5444	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV5445	Bacteria	NA	NA	NA	NA	NA	NA
ASV5446	Bacteria	NA	NA	NA	NA	NA	NA
ASV5447	Bacteria	NA	NA	NA	NA	NA	NA
ASV5448	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus	NA
ASV5450	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5451	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV5452	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	atypica/parvula
ASV5453	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	NA
ASV5455	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV5456	Bacteria	Desulfobacterota	Desulfuromonadia	NA	NA	NA	NA
ASV5457	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA	NA
ASV5458	Bacteria	NA	NA	NA	NA	NA	NA
ASV5459	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA
ASV5460	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5461	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5462	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	NA	NA	NA
ASV5463	Bacteria	NA	NA	NA	NA	NA	NA
ASV5464	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_PCC-7375	NA
ASV5465	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV5466	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA	NA
ASV5467	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
ASV5468	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5469	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
ASV5470	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5471	Bacteria	NA	NA	NA	NA	NA	NA
ASV5473	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV5474	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	NA	NA
ASV5475	Bacteria	Cyanobacteria	Vampirivibrionia	NA	NA	NA	NA
ASV5476	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	NA
ASV5477	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5478	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5481	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	NA	NA
ASV5482	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV5483	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	NA	NA
ASV5484	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV5485	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5486	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	NA	NA	NA
ASV5487	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	NA
ASV5488	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	NA	NA	NA
ASV5489	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA	NA
ASV5490	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	NA	NA	NA
ASV5491	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5492	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5493	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5494	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA
ASV5495	Bacteria	NA	NA	NA	NA	NA	NA
ASV5496	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV5497	Bacteria	NA	NA	NA	NA	NA	NA
ASV5499	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV5500	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA286-E23	NA	NA
ASV5501	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV5502	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV5503	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5504	Bacteria	NA	NA	NA	NA	NA	NA
ASV5505	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5506	Bacteria	NA	NA	NA	NA	NA	NA
ASV5507	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	NA
ASV5508	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5509	Bacteria	NA	NA	NA	NA	NA	NA
ASV5510	Bacteria	NA	NA	NA	NA	NA	NA
ASV5511	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5512	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA286-E23	NA	NA
ASV5513	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5514	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloprofundus	NA
ASV5515	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV5517	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5518	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5519	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5520	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
ASV5521	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA
ASV5522	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5523	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV5524	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5525	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5526	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV5527	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5529	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	NA
ASV5530	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV5531	Bacteria	Proteobacteria	Gammaproteobacteria	D90	NA	NA	NA
ASV5534	Bacteria	Verrucomicrobiota	Kiritimatiellae	NA	NA	NA	NA
ASV5535	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA
ASV5536	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonadaceae	Marinomonas	NA
ASV5537	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5539	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV5540	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV5541	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	NA	NA
ASV5543	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5544	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	NA
ASV5545	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV5546	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	NA
ASV5547	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA	NA
ASV5548	Bacteria	Bdellovibrionota	Bdellovibrionia	NA	NA	NA	NA
ASV5549	Bacteria	Verrucomicrobiota	Lentisphaeria	SS1-B-02-17	NA	NA	NA
ASV5550	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV5551	Bacteria	Planctomycetota	BD7-11	NA	NA	NA	NA
ASV5552	Bacteria	Myxococcota	Polyangia	VHS-B4-70	NA	NA	NA
ASV5553	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5554	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5555	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA
ASV5556	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5557	Bacteria	NA	NA	NA	NA	NA	NA
ASV5558	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV5559	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5560	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	NA	NA
ASV5561	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV5562	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5563	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5564	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5565	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV5566	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	japonica
ASV5567	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera	NA
ASV5568	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV5569	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5570	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV5571	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	NA
ASV5572	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV5573	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA
ASV5574	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV5575	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV5576	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV5577	Bacteria	NA	NA	NA	NA	NA	NA
ASV5578	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	NA	NA	NA
ASV5579	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV5580	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
